# N,  zmet, start, trunc, tau, theta 
         1  0.003  1.000 5.0000  0.300 -1.000
         2  0.003  1.000 5.0000  0.300 -1.730
         3  0.003  1.000 5.0000  0.300 -5.660
         4  0.003  1.000 5.0000  0.700 -1.000
         5  0.003  1.000 5.0000  0.700 -1.730
         6  0.003  1.000 5.0000  0.700 -5.660
         7  0.003  1.000 5.0000  1.000 -1.000
         8  0.003  1.000 5.0000  1.000 -1.730
         9  0.003  1.000 5.0000  1.000 -5.660
        10  0.003  1.000 5.0000  1.300 -1.000
        11  0.003  1.000 5.0000  1.300 -1.730
        12  0.003  1.000 5.0000  1.300 -5.660
        13  0.003  1.000 5.0000  2.000 -1.000
        14  0.003  1.000 5.0000  2.000 -1.730
        15  0.003  1.000 5.0000  2.000 -5.660
        16  0.003  1.000 5.0000  9.000 -1.000
        17  0.003  1.000 5.0000  9.000 -1.730
        18  0.003  1.000 5.0000  9.000 -5.660
        19  0.003  1.000 7.0000  0.300 -1.000
        20  0.003  1.000 7.0000  0.300 -1.730
        21  0.003  1.000 7.0000  0.300 -5.660
        22  0.003  1.000 7.0000  0.700 -1.000
        23  0.003  1.000 7.0000  0.700 -1.730
        24  0.003  1.000 7.0000  0.700 -5.660
        25  0.003  1.000 7.0000  1.000 -1.000
        26  0.003  1.000 7.0000  1.000 -1.730
        27  0.003  1.000 7.0000  1.000 -5.660
        28  0.003  1.000 7.0000  1.300 -1.000
        29  0.003  1.000 7.0000  1.300 -1.730
        30  0.003  1.000 7.0000  1.300 -5.660
        31  0.003  1.000 7.0000  2.000 -1.000
        32  0.003  1.000 7.0000  2.000 -1.730
        33  0.003  1.000 7.0000  2.000 -5.660
        34  0.003  1.000 7.0000  9.000 -1.000
        35  0.003  1.000 7.0000  9.000 -1.730
        36  0.003  1.000 7.0000  9.000 -5.660
        37  0.003  1.000 9.0000  0.300 -1.000
        38  0.003  1.000 9.0000  0.300 -1.730
        39  0.003  1.000 9.0000  0.300 -5.660
        40  0.003  1.000 9.0000  0.700 -1.000
        41  0.003  1.000 9.0000  0.700 -1.730
        42  0.003  1.000 9.0000  0.700 -5.660
        43  0.003  1.000 9.0000  1.000 -1.000
        44  0.003  1.000 9.0000  1.000 -1.730
        45  0.003  1.000 9.0000  1.000 -5.660
        46  0.003  1.000 9.0000  1.300 -1.000
        47  0.003  1.000 9.0000  1.300 -1.730
        48  0.003  1.000 9.0000  1.300 -5.660
        49  0.003  1.000 9.0000  2.000 -1.000
        50  0.003  1.000 9.0000  2.000 -1.730
        51  0.003  1.000 9.0000  2.000 -5.660
        52  0.003  1.000 9.0000  9.000 -1.000
        53  0.003  1.000 9.0000  9.000 -1.730
        54  0.003  1.000 9.0000  9.000 -5.660
        55  0.003  1.000 11.0000  0.300 -1.000
        56  0.003  1.000 11.0000  0.300 -1.730
        57  0.003  1.000 11.0000  0.300 -5.660
        58  0.003  1.000 11.0000  0.700 -1.000
        59  0.003  1.000 11.0000  0.700 -1.730
        60  0.003  1.000 11.0000  0.700 -5.660
        61  0.003  1.000 11.0000  1.000 -1.000
        62  0.003  1.000 11.0000  1.000 -1.730
        63  0.003  1.000 11.0000  1.000 -5.660
        64  0.003  1.000 11.0000  1.300 -1.000
        65  0.003  1.000 11.0000  1.300 -1.730
        66  0.003  1.000 11.0000  1.300 -5.660
        67  0.003  1.000 11.0000  2.000 -1.000
